0	0	0
1	1	0
62	62	0
81	81	0
62	62	0
62	62	0
36	36	0
57	57	0
64	64	0
81	81	0
10	10	0
36	36	0
36	36	0
62	62	0
36	36	0
72	72	0
62	62	0
78	78	0
32	32	0
36	36	0
62	62	0
44	44	0
72	72	0
72	72	0
57	57	0
62	62	0
67	67	0
72	72	0
78	78	0
84	84	0
90	90	0
96	96	0
32	32	0
33	33	0
36	34	2
36	36	0
36	36	0
62	62	0
38	38	0
72	72	0
62	62	0
62	62	0
78	78	0
43	43	0
44	44	0
62	62	0
46	46	0
72	72	0
72	72	0
57	57	0
62	62	0
67	67	0
72	72	0
78	78	0
84	84	0
90	90	0
96	96	0
57	57	0
58	58	0
59	59	0
60	60	0
62	62	0
62	62	0
72	72	0
64	64	0
78	78	0
66	66	0
67	67	0
68	68	0
72	72	0
70	70	0
71	71	0
72	72	0
78	78	0
84	84	0
96	96	0
76	76	0
77	77	0
78	78	0
79	79	0
80	80	0
81	81	0
82	82	0
83	83	0
84	84	0
85	85	0
86	86	0
96	96	0
88	88	0
89	89	0
90	90	0
91	91	0
92	92	0
93	93	0
94	94	0
95	95	0
96	96	0
97	97	0
98	98	0
99	99	0
